id,lat,lng,name,pref,population,elevation
1110103,41.846457,140.722952,桔梗,北海道,20.43,37
1110104,41.864641,140.71358,大中山,北海道,8.46,35
1110105,41.886971,140.688556,七飯,北海道,9.99,33
1110106,41.9054,140.646525,新函館北斗,北海道,6.73,30
1110107,41.930011,140.635183,仁山,北海道,0.86,91
1110108,41.971954,140.669347,大沼,北海道,3.31,134
1110109,41.980958,140.669758,大沼公園,北海道,1.92,134
1110110,42.003267,140.642678,赤井川,北海道,0.4,145
1110111,42.038809,140.610476,駒ケ岳,北海道,0.58,177
1110117,42.06439,140.771393,鹿部,北海道,0.45,89
1110118,42.10706,140.747596,渡島沼尻,北海道,0.16,61
1110119,42.12164,140.689451,渡島砂原,北海道,1.39,37
1110120,42.119205,140.64598,掛澗,北海道,1.63,25
1110121,42.111232,140.613449,尾白内,北海道,3.05,2
1110122,42.106823,140.59353,東森,北海道,4.53,5
1110123,42.108917,140.573846,森,北海道,5.75,6
1110127,42.17285,140.458436,石倉,北海道,1.02,13
1110128,42.187617,140.420755,落部,北海道,3.54,8
1110129,42.217104,140.37586,野田生,北海道,1.59,6
1110130,42.231172,140.326593,山越,北海道,0.84,8
1110131,42.253391,140.273342,八雲,北海道,7.08,9
1110133,42.314635,140.2746,山崎,北海道,0.86,4
1110134,42.368296,140.288173,黒岩,北海道,1.3,6
1110136,42.439319,140.320885,国縫,北海道,1.12,3
1110137,42.477928,140.346077,中ノ沢,北海道,0.22,4
1110201,42.512477,140.37507,長万部,北海道,3.25,5
1110202,42.575869,140.320821,二股,北海道,0.16,30
1110204,42.669608,140.305704,黒松内,北海道,2.13,25
1110205,42.675653,140.375084,熱郛,北海道,0.33,55
1110206,42.761432,140.465742,目名,北海道,0.34,80
1110207,42.804542,140.52894,蘭越,北海道,3.17,30
1110208,42.797984,140.596107,昆布,北海道,0.66,47
1110209,42.808746,140.684588,ニセコ,北海道,4.5,102
1110210,42.84856,140.722615,比羅夫,北海道,0.31,157
1110211,42.90164,140.745471,倶知安,北海道,9.88,179
1110212,42.97185,140.677657,小沢,北海道,0.56,53
1110213,43.040888,140.715321,銀山,北海道,0.15,176
1110214,43.12551,140.737211,然別,北海道,0.39,25
1110215,43.154091,140.770546,仁木,北海道,3.8,9
1110216,43.186558,140.794686,余市,北海道,19.57,5
1110217,43.19651,140.854643,蘭島,北海道,3.93,6
1110218,43.202406,140.924546,塩谷,北海道,7.18,68
1110301,43.197172,140.993653,小樽,北海道,23.28,25
1110302,43.186529,141.007883,南小樽,北海道,35.42,22
1110303,43.180752,141.029051,小樽築港,北海道,15.87,5
1110304,43.176868,141.063923,朝里,北海道,11.01,3
1110305,43.143403,141.159868,銭函,北海道,16.71,10
1110306,43.13373,141.191402,ほしみ,北海道,16.84,12
1110307,43.132375,141.210856,星置,北海道,39.33,20
1110308,43.128115,141.222919,稲穂,北海道,35.05,9
1110309,43.120238,141.243785,手稲,北海道,40.85,13
1110310,43.112023,141.257113,稲積公園,北海道,22.99,9
1110311,43.099819,141.277273,発寒,北海道,46.95,12
1110312,43.089271,141.294497,発寒中央,北海道,58.65,18
1110313,43.081599,141.307418,琴似,北海道,63.03,19
1110318,43.045154,141.46369,厚別,北海道,54.44,19
1110319,43.056456,141.481332,森林公園,北海道,27.02,18
1110320,43.072382,141.496925,大麻,北海道,18.57,42
1110321,43.092559,141.52984,野幌,北海道,32.28,29
1110322,43.100084,141.540752,高砂,北海道,22.7,26
1110323,43.110189,141.55679,江別,北海道,20.28,12
1110324,43.136446,141.62466,豊幌,北海道,5.22,9
1110325,43.151348,141.655839,幌向,北海道,12.8,12
1110326,43.18183,141.715391,上幌向,北海道,14.44,12
1110328,43.264694,141.814673,峰延,北海道,3.5,27
1110329,43.292658,141.844655,光珠内,北海道,1.41,25
1110330,43.330751,141.862157,美唄,北海道,17.52,28
1110331,43.369842,141.87336,茶志内,北海道,1.08,26
1110332,43.423718,141.889115,奈井江,北海道,5.99,29
1110333,43.464224,141.901032,豊沼,北海道,4.81,25
1110334,43.493468,141.909642,砂川,北海道,9.41,26
1110336,43.627564,141.935937,江部乙,北海道,10.48,37
1110337,43.690841,141.966591,妹背牛,北海道,5.09,42
1110339,43.732509,142.130072,納内,北海道,4.8,67
1110341,43.789193,142.325327,近文,北海道,11.34,102
1110401,42.512477,140.37507,長万部,北海道,3.25,5
1110402,42.584065,140.460025,静狩,北海道,0.42,5
1110403,42.589731,140.537361,小幌,北海道,0.07,61
1110404,42.580422,140.595013,礼文,北海道,0.96,4
1110405,42.585969,140.639036,大岸,北海道,1.27,6
1110406,42.580323,140.71536,豊浦,北海道,3.86,24
1110407,42.55055,140.763959,洞爺,北海道,5.11,6
1110408,42.513267,140.793969,有珠,北海道,2.81,10
1110409,42.488262,140.833783,長和,北海道,4.82,6
1110410,42.469395,140.855802,伊達紋別,北海道,9.84,3
1110411,42.450528,140.880259,北舟岡,北海道,3.2,6
1110412,42.425567,140.898836,稀府,北海道,3.84,14
1110413,42.386441,140.907781,黄金,北海道,2.44,3
1110414,42.373968,140.927141,崎守,北海道,3.93,18
1110415,42.358734,140.977561,本輪西,北海道,13.73,3
1110416,42.317864,140.97571,室蘭,北海道,18.86,5
1110417,42.317295,140.990018,母恋,北海道,18.99,8
1110418,42.329014,140.993881,御崎,北海道,11.37,8
1110419,42.333775,141.005743,輪西,北海道,13.85,6
1110420,42.349374,141.026411,東室蘭,北海道,28.95,6
1110421,42.35953,141.042759,鷲別,北海道,29.51,7
1110422,42.409782,141.107293,幌別,北海道,19.87,7
1110423,42.441957,141.156878,富浦,北海道,6.12,6
1110424,42.45207,141.180931,登別,北海道,10.76,10
1110425,42.464695,141.215092,虎杖浜,北海道,1.91,9
1110426,42.49284,141.260395,竹浦,北海道,1.43,5
1110427,42.509119,141.286199,北吉原,北海道,10.42,5
1110428,42.521159,141.30603,萩野,北海道,4.93,7
1110429,42.55474,141.360054,白老,北海道,10.04,9
1110430,42.578682,141.417433,社台,北海道,1.03,7
1110431,42.6025,141.48722,錦岡,北海道,9.84,9
1110432,42.6225,141.546187,糸井,北海道,18.24,8
1110433,42.62999,141.568278,青葉,北海道,17.31,8
1110501,42.639665,141.596837,苫小牧,北海道,17.68,11
1110503,42.729533,141.769568,遠浅,北海道,3.17,15
1110504,42.765237,141.814106,早来,北海道,3.87,18
1110505,42.814007,141.825283,安平,北海道,1.03,33
1110507,42.945029,141.800778,三川,北海道,2.26,54
1110508,42.975256,141.793969,古山,北海道,1.04,48
1110509,43.012206,141.785868,由仁,北海道,6.2,40
1110510,43.058164,141.775603,栗山,北海道,6.51,30
1110511,43.085444,141.744333,栗丘,北海道,0.7,25
1110512,43.120367,141.739743,栗沢,北海道,6.15,19
1110513,43.158903,141.744443,志文,北海道,5.42,19
1110514,43.204201,141.759359,岩見沢,北海道,13.79,20
1110601,43.555278,141.900807,滝川,北海道,12.19,30
1110602,43.574037,141.98031,東滝川,北海道,2.83,44
1110603,43.555144,142.048669,赤平,北海道,6.25,60
1110604,43.537314,142.082156,茂尻,北海道,10.82,73
1110605,43.541401,142.123872,平岸,北海道,2.13,73
1110606,43.516636,142.184543,芦別,北海道,9.03,98
1110607,43.48871,142.210855,上芦別,北海道,4.19,115
1110608,43.474418,142.261772,野花南,北海道,0.33,115
1110611,43.291991,142.400595,布部,北海道,0.64,190
1110612,43.244645,142.381522,山部,北海道,7.51,224
1110613,43.197328,142.415402,下金山,北海道,0.37,250
1110614,43.136115,142.416201,金山,北海道,0.35,281
1110615,43.164011,142.523472,東鹿越,北海道,0.11,353
1110616,43.161582,142.569474,幾寅,北海道,2.81,361
1110617,43.125055,142.669104,落合,北海道,0.34,412
1110701,43.082501,142.832432,新得,北海道,6.03,188
1110702,43.012892,142.879535,十勝清水,北海道,6.26,168
1110704,42.942418,142.935739,御影,北海道,4.81,158
1110705,42.909846,143.047991,芽室,北海道,12.18,87
1110706,42.91605619,143.0696659,大成,北海道,4.9,71
1110707,42.923941,143.126351,西帯広,北海道,19.44,56
1110708,42.928877,143.1645,柏林台,北海道,25.81,42
1110709,42.917997,143.20195,帯広,北海道,42.36,45
1110710,42.912697,143.256248,札内,北海道,15.05,32
1110712,42.90784,143.359293,幕別,北海道,6.55,27
1110713,42.934706,143.424445,利別,北海道,3.23,13
1110715,42.855781,143.500797,十弗,北海道,0.12,12
